               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.014474,           0.0087578,           0.0061208,             0.99526,             0.99743,               0.995,             0.74163,            0.020834,           0.0054093,          0.00073052,           0.0025241,           0.0025241,           0.0025241
                  75,            0.014452,           0.0074307,           0.0062374,             0.98914,             0.98876,               0.995,             0.73924,            0.021315,           0.0057273,           0.0011413,           0.0024195,           0.0024195,           0.0024195
                  76,            0.015397,           0.0078516,           0.0073155,             0.98923,             0.98923,               0.995,             0.73787,             0.02142,           0.0053141,           0.0016995,            0.002318,            0.002318,            0.002318
                  77,            0.014325,           0.0071795,           0.0057414,             0.99447,             0.97297,               0.995,              0.7505,            0.020453,           0.0053835,           0.0017939,           0.0022196,           0.0022196,           0.0022196
                  78,            0.014244,           0.0083631,            0.006704,             0.98882,             0.99431,               0.995,             0.73416,            0.021037,           0.0053225,           0.0010607,           0.0021245,           0.0021245,           0.0021245
                  79,            0.014106,           0.0071016,            0.007119,             0.98736,             0.99623,             0.99476,             0.73951,             0.02038,           0.0053359,           0.0011339,           0.0020327,           0.0020327,           0.0020327
                  80,            0.014028,           0.0070424,           0.0066515,             0.99071,             0.96747,             0.99476,             0.74784,            0.020323,           0.0053111,           0.0016727,           0.0019443,           0.0019443,           0.0019443
                  81,            0.014174,           0.0077921,           0.0068598,             0.98417,             0.98631,               0.995,             0.73603,            0.020525,           0.0052282,           0.0012688,           0.0018594,           0.0018594,           0.0018594
                  82,            0.013868,            0.007295,           0.0063318,             0.98013,             0.98865,             0.99452,             0.77018,            0.018711,            0.004914,           0.0015534,           0.0017781,           0.0017781,           0.0017781
                  83,            0.013635,           0.0062117,           0.0060237,             0.98345,             0.98692,               0.995,             0.76704,            0.019917,           0.0049212,           0.0016914,           0.0017005,           0.0017005,           0.0017005
                  84,            0.014087,           0.0077031,           0.0058586,             0.99457,             0.98298,               0.995,             0.75675,             0.01972,           0.0052355,          0.00099231,           0.0016267,           0.0016267,           0.0016267
                  85,            0.013432,           0.0065029,            0.006609,             0.98385,             0.99042,               0.995,              0.7243,            0.021428,           0.0053501,           0.0011635,           0.0015566,           0.0015566,           0.0015566
                  86,            0.013648,           0.0068318,           0.0061831,             0.99022,             0.98391,               0.995,             0.74748,            0.020428,           0.0052338,           0.0012791,           0.0014905,           0.0014905,           0.0014905
                  87,            0.013137,           0.0064682,            0.005725,             0.98973,             0.97769,               0.995,             0.72893,            0.020897,           0.0053205,           0.0014531,           0.0014283,           0.0014283,           0.0014283
                  88,            0.013176,           0.0070925,            0.005476,             0.98502,             0.98397,               0.995,             0.75135,            0.019902,           0.0051416,           0.0013892,           0.0013701,           0.0013701,           0.0013701
                  89,            0.013179,           0.0065502,           0.0056369,             0.99008,             0.98045,               0.995,             0.73644,            0.020596,           0.0052616,             0.00155,            0.001316,            0.001316,            0.001316
                  90,              0.0133,           0.0068654,           0.0051898,             0.99024,             0.98508,               0.995,             0.72373,            0.021146,           0.0055944,           0.0012038,            0.001266,            0.001266,            0.001266
                  91,            0.013036,           0.0070746,           0.0051538,             0.98587,             0.98909,               0.995,             0.72484,            0.021907,           0.0054792,           0.0011122,           0.0012202,           0.0012202,           0.0012202
                  92,            0.013178,           0.0064453,           0.0051566,             0.99008,             0.97417,               0.995,             0.73456,            0.021009,           0.0054009,            0.002082,           0.0011787,           0.0011787,           0.0011787
                  93,            0.012584,           0.0062853,            0.004886,             0.99047,             0.97521,               0.995,             0.74208,            0.020334,           0.0052778,           0.0017055,           0.0011414,           0.0011414,           0.0011414
                  94,            0.012628,           0.0080408,              0.0049,             0.97975,             0.98639,               0.995,             0.74345,             0.02083,           0.0057715,           0.0015494,           0.0011084,           0.0011084,           0.0011084
                  95,            0.012897,            0.007256,           0.0054374,              0.9832,             0.98533,             0.99323,             0.73941,            0.020583,           0.0054859,           0.0029102,           0.0010797,           0.0010797,           0.0010797
                  96,            0.012526,           0.0060385,           0.0055484,             0.98381,             0.98772,             0.99275,             0.74685,            0.020016,           0.0052912,           0.0016703,           0.0010554,           0.0010554,           0.0010554
                  97,            0.012787,            0.007927,           0.0052791,             0.98677,             0.98926,               0.995,             0.74069,             0.02091,           0.0054378,           0.0012743,           0.0010355,           0.0010355,           0.0010355
                  98,            0.012953,           0.0074446,           0.0052679,             0.98757,             0.98297,               0.995,             0.73726,            0.020836,           0.0053516,           0.0014444,             0.00102,             0.00102,             0.00102
                  99,            0.013306,           0.0082903,           0.0059977,             0.98251,             0.98835,               0.995,             0.73369,             0.02138,           0.0054737,           0.0016166,           0.0010089,           0.0010089,           0.0010089
